timestamp,packet_id,super_state,mc_state,ctrl_mode,rpm,accel_avg,accel_mad,iq_avg,iq_mad,iq_target,id_avg,id_min,id_max,if_avg,if_mad,field_pwm_avg,field_pwm_mad,vbus_avg,vbus_min,vbus_max,duty_avg,duty_max,if_min,stator_fw_id,speed_target,speed_i_term,i_bus
1787297062571,1437,0,0,2,0.02257942222058773,0.1264238953590393,104.3896713256836,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.002862508175894618,0.0019260343397036195,5.605193857299268e-45,1.1210387714598537e-44,13.586234092712402,13.582660675048828,13.590715408325195,0.014825433492660522,0.01561775803565979,0,0,4800,0,5.605193857299268e-45
1787297062591,1438,0,0,2,-0.1224457249045372,-12.150867462158203,100.64414978027344,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.002486805198714137,0.0024284077808260918,5.605193857299268e-45,1.1210387714598537e-44,13.58730697631836,13.579728126525879,13.59526538848877,0.014473785646259785,0.015407576225697994,0,0,4800,0,5.605193857299268e-45
1787297062611,1439,0,0,2,-0.04828088358044624,-5.114709854125977,69.11624145507812,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0005852911272086203,0.0011170210782438517,5.605193857299268e-45,1.1210387714598537e-44,13.587845802307129,13.584606170654297,13.592697143554688,0.014555258676409721,0.015798253938555717,0,0,4800,0,5.605193857299268e-45
1787297062631,1440,0,0,2,0.018833499401807785,-6.08089542388916,109.87016296386719,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.002118560252711177,0.0014355798484757543,5.605193857299268e-45,1.1210387714598537e-44,13.588510513305664,13.58373737335205,13.593897819519043,0.01441802829504013,0.01558688748627901,0,0,4800,0,5.605193857299268e-45
1787297062651,1441,0,0,2,-0.0495612733066082,-2.2874538898468018,81.3268814086914,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0022755444515496492,0.0015857885591685772,5.605193857299268e-45,1.1210387714598537e-44,13.588326454162598,13.58410358428955,13.595354080200195,0.014476370066404343,0.016075830906629562,0,0,4800,0,5.605193857299268e-45
1787297062671,1442,0,0,2,-0.02199411764740944,-1.4361011981964111,45.04862976074219,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.001433997880667448,0.0017103716963902116,5.605193857299268e-45,1.1210387714598537e-44,13.588112831115723,13.584095001220703,13.593846321105957,0.014560221694409847,0.01559571735560894,0,0,4800,0,5.605193857299268e-45
1787297062691,1443,0,0,2,0.07967401295900345,-9.175758361816406,95.08467102050781,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0036208597011864185,0.0018441571155562997,5.605193857299268e-45,1.1210387714598537e-44,13.586380958557129,13.582770347595215,13.59290885925293,0.01464886125177145,0.015485838986933231,0,0,4800,0,5.605193857299268e-45
1787297062711,1444,0,0,2,-0.15374968945980072,-22.387712478637695,123.59685516357422,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0029895214829593897,0.0018742169486358762,5.605193857299268e-45,1.1210387714598537e-44,13.58724594116211,13.580086708068848,13.591300010681152,0.014536131173372269,0.015622621402144432,0,0,4800,0,5.605193857299268e-45
1787297062731,1445,0,0,2,0.04444635286927223,-1.2159538269042969,144.0048065185547,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0032262972090393305,0.001752326963469386,5.605193857299268e-45,1.1210387714598537e-44,13.585747718811035,13.58116340637207,13.593671798706055,0.014685163274407387,0.016327599063515663,0,0,4800,0,5.605193857299268e-45
1787297062752,1446,0,0,2,-0.04001323878765106,-5.262432098388672,140.90858459472656,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.00462444918230176,0.0024421385023742914,5.605193857299268e-45,1.1210387714598537e-44,13.584702491760254,13.57512092590332,13.594059944152832,0.014572888612747192,0.015475423075258732,0,0,4800,0,5.605193857299268e-45
1787297062771,1447,0,0,2,-0.0009250369039364159,1.0135338306427002,147.49774169921875,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0022646342404186726,0.00204352755099535,5.605193857299268e-45,1.1210387714598537e-44,13.585247993469238,13.576859474182129,13.592765808105469,0.01441921666264534,0.015896743163466454,0,0,4800,0,5.605193857299268e-45
1787297062791,1448,0,0,2,0.0972384512424469,14.048827171325684,110.208740234375,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0025077105965465307,0.0019421689212322235,5.605193857299268e-45,1.1210387714598537e-44,13.58704948425293,13.582738876342773,13.59321403503418,0.014359801076352596,0.01585007831454277,0,0,4800,0,5.605193857299268e-45
1787297062812,1449,0,0,2,0.09450188279151917,11.499054908752441,58.70955276489258,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0016123896930366755,0.0018078753491863608,5.605193857299268e-45,1.1210387714598537e-44,13.585638999938965,13.578338623046875,13.597786903381348,0.01441873237490654,0.015332086943089962,0,0,4800,0,5.605193857299268e-45
1787297062832,1450,0,0,2,0.041610199958086014,-5.043101787567139,227.81556701660156,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0038256822153925896,0.002547731390222907,5.605193857299268e-45,1.1210387714598537e-44,13.586169242858887,13.576664924621582,13.59166431427002,0.014529612846672535,0.01550984289497137,0,0,4800,0,5.605193857299268e-45
1787297062852,1451,0,0,2,0.08422374725341797,10.658799171447754,121.45674133300781,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.002387707820162177,0.0025050281547009945,5.605193857299268e-45,1.1210387714598537e-44,13.58526611328125,13.581923484802246,13.590569496154785,0.014416640624403954,0.015312623232603073,0,0,4800,0,5.605193857299268e-45
1787297062872,1452,0,0,2,-0.08298026770353317,-5.999538898468018,78.1510009765625,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0012384862639009953,0.0016227883752435446,5.605193857299268e-45,1.1210387714598537e-44,13.585870742797852,13.576903343200684,13.595050811767578,0.014402072876691818,0.015498757362365723,0,0,4800,0,5.605193857299268e-45
1787297062892,1453,0,0,2,-0.10460329800844193,-4.608901500701904,68.6048812866211,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0015204884111881256,0.0018032300285995007,5.605193857299268e-45,1.1210387714598537e-44,13.586572647094727,13.580242156982422,13.593503952026367,0.014206823892891407,0.01517440751194954,0,0,4800,0,5.605193857299268e-45
1787297062912,1454,0,0,2,-0.033640749752521515,-2.354043960571289,84.69955444335938,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0022208713926374912,0.0021453893277794123,5.605193857299268e-45,1.1210387714598537e-44,13.587368965148926,13.581574440002441,13.59131908416748,0.014214000664651394,0.01536000519990921,0,0,4800,0,5.605193857299268e-45
1787297062932,1455,0,0,2,0.2464318722486496,25.046764373779297,87.48127746582031,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0019533063750714064,0.0016569928266108036,5.605193857299268e-45,1.1210387714598537e-44,13.585597038269043,13.580068588256836,13.589768409729004,0.014499852433800697,0.015743715688586235,0,0,4800,0,5.605193857299268e-45
1787297062953,1456,0,0,2,0.01452872809022665,1.9206722974777222,79.1960220336914,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0020083028357475996,0.0021156712900847197,5.605193857299268e-45,1.1210387714598537e-44,13.58665943145752,13.577428817749023,13.595237731933594,0.014321703463792801,0.01574154943227768,0,0,4800,0,5.605193857299268e-45
1787297062973,1457,0,0,2,-0.09858831018209457,-5.922390937805176,47.861141204833984,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0008972269133664668,0.001366971293464303,5.605193857299268e-45,1.1210387714598537e-44,13.586010932922363,13.582801818847656,13.59322452545166,0.014286228455603123,0.015466039068996906,0,0,4800,0,5.605193857299268e-45
1787297062993,1458,0,0,2,0.08949290961027145,8.664165496826172,83.56455993652344,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0018207419198006392,0.0018112180987372994,5.605193857299268e-45,1.1210387714598537e-44,13.586381912231445,13.581342697143555,13.591813087463379,0.014369030483067036,0.01561746746301651,0,0,4800,0,5.605193857299268e-45
1787297063013,1459,0,0,2,-0.060972705483436584,-7.1607184410095215,77.37356567382812,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0010944510577246547,0.0012386820744723082,5.605193857299268e-45,1.1210387714598537e-44,13.586301803588867,13.583105087280273,13.590192794799805,0.014497226104140282,0.015733789652585983,0,0,4800,0,5.605193857299268e-45
1787297063033,1460,0,0,2,0.47388023138046265,45.988861083984375,85.04972839355469,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0017065941356122494,0.0016170627204701304,5.605193857299268e-45,1.1210387714598537e-44,13.58701229095459,13.583065032958984,13.592645645141602,0.014451032504439354,0.015011382289230824,0,0,4800,0,5.605193857299268e-45
1787297063053,1461,0,0,2,-0.04034271091222763,-7.829376697540283,71.12114715576172,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0012830543564632535,0.0016427619848400354,5.605193857299268e-45,1.1210387714598537e-44,13.586034774780273,13.578523635864258,13.589844703674316,0.014624513685703278,0.015437682159245014,0,0,4800,0,5.605193857299268e-45
1787297063073,1462,0,0,2,0.04417789354920387,5.761245250701904,109.05740356445312,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0021315980702638626,0.001575589762069285,5.605193857299268e-45,1.1210387714598537e-44,13.58673095703125,13.58078670501709,13.590365409851074,0.014349686913192272,0.015510051511228085,0,0,4800,0,5.605193857299268e-45
1787297063093,1463,0,0,2,-0.03514932841062546,-7.8632731437683105,113.51172637939453,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.002208865713328123,0.0017194848041981459,5.605193857299268e-45,1.1210387714598537e-44,13.587043762207031,13.581902503967285,13.59228801727295,0.014505837112665176,0.015655677765607834,0,0,4800,0,5.605193857299268e-45
1787297063113,1464,0,0,2,-0.05414101853966713,-11.468672752380371,81.1976089477539,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.003107344266027212,0.0027150434907525778,5.605193857299268e-45,1.1210387714598537e-44,13.587538719177246,13.583024978637695,13.590719223022461,0.014436560682952404,0.015679411590099335,0,0,4800,0,5.605193857299268e-45
1787297063133,1465,0,0,2,-0.1133914664387703,-14.9304838180542,95.42554473876953,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0019156879279762506,0.0016009460669010878,5.605193857299268e-45,1.1210387714598537e-44,13.585515975952148,13.5813627243042,13.589151382446289,0.014487341977655888,0.016179854050278664,0,0,4800,0,5.605193857299268e-45
1787297063153,1466,0,0,2,-0.08193360269069672,-4.439375400543213,70.49360656738281,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.001434387406334281,0.0019062405917793512,5.605193857299268e-45,1.1210387714598537e-44,13.586974143981934,13.580241203308105,13.59009075164795,0.014239094220101833,0.015681466087698936,0,0,4800,0,5.605193857299268e-45
1787297063173,1467,0,0,2,0.16916513442993164,18.59128761291504,65.2028579711914,5.605193857299268e-45,1.1210387714598537e-44,5.605193857299268e-45,-5.605193857299268e-45,0,0,0.0016035098815336823,0.0015781843103468418,5.605193857299268e-45,1.1210387714598537e-44,13.586130142211914,13.58336067199707,13.591645240783691,0.014794240705668926,0.015863679349422455,0,0,4800,0,5.605193857299268e-45
